INDEX NUMBER,ELPC2+20,ELTN2213,ELTN2221,ELTN2232,ELTN2241,IMGT2212,IMGT2222,MATH2213,STAT2212,STAT2222,
192214,AB,I,I,I,I,I,I,I,I,I,
192213,P,C,B,C,B,B-,C,C,D+,C-,
192212,P,B+,C+,B+,A,B+,B,B-,B-,B-,
192211,P,C+,B-,B-,B,A-,C+,C+,C+,C,
192209,P,C,C+,C,B+,C-,C,C-,D,C,
192208,AB,I,I,I,I,I,I,I,I,I,
192206,P,C+,A,C,B-,C-,C,C,I,C+,
192205,P,D+,C-,C,E,C,E,E,E,E,
192203,P,C,C,C,D,D+,C-,C,B,C-,
192202,P,B-,A-,B,A-,B+,B,C,A-,A,
192201,P,B,C+,B+,A-,A,A,C+,C+,B,
192200,AB,I,I,I,I,I,I,I,I,I,
192198,P,B,A,C+,B-,C+,C-,C-,C+,C-,
192197,P,E,C,D+,C+,C,E,C-,D,D,
192196,P,B,B,A-,A-,A,C+,C,C-,C+,
192195,P,C+,B,B-,A-,B-,B-,C,C,B-,
192194,P,C,B,B+,B,B,C,C,C-,C+,
192193,P,C-,B-,C,C,B,B-,B-,C,B-,
192192,AB,I,I,I,I,I,I,I,I,I,
192190,P,C,B+,D+,B-,C,E,D+,D+,D,
192188,P,D,D+,C,C+,B,B-,I,C-,D+,
192187,P,B+,A-,B+,C,C-,D,D,E,C-,
192186,P,C,B-,C,B,C,C,C,C,C-,
192181,P,C,C,C+,A-,B-,C+,C+,C+,C+,
192180,P,B,C+,B,A-,B+,A-,B-,B,C+,
192179,P,A-,A-,C,A-,A,B,B+,C+,C+,
192167,P,D,C,C,B-,C,C+,B-,E,C-,
192165,P,C,C,D,C-,D+,C+,D+,D,D+,
192125,AB,I,I,I,I,I,I,I,I,I,
192028,P,D,C,C-,C,C,E,D,E,E,
192018,P,B+,B-,C+,A-,A,A,B,B,B+,
