INDEX NUMBER,CMIS3114,CMIS3122,ELPCCCBE,MMOD3113,MMOD3124,STAT3112,STAT3124,
182172,E,-,-,E,E,D,D+,
182168,D+,-,-,E,E,E,E,
182153,B+,-,-,B,A,C+,A-,
182147,C,-,-,B,B,C,C+,
182146,B-,-,-,B,B+,B-,A-,
182142,C,-,-,C,B,D+,B-,
182125,C,-,-,C+,C,C+,B-,
182106,C,-,-,C-,C,C-,C+,
182105,C+,-,-,B-,B+,B-,A,
182104,B,-,-,C+,B,B-,B+,
182090,C+,-,-,C+,C+,C-,C,
182088,E,-,-,E,E,E,D+,
182079,B,-,-,C+,B+,C,A-,
182077,A-,-,-,D,B,B-,B,
182075,B,-,-,E,C+,C,B-,
182071,C,-,-,E,C+,E,C,
182066,B+,-,-,C,B-,C+,A,
182042,B,-,-,C,B-,C,C+,
182027,D,-,-,D,C+,I,C-,
182025,C+,-,-,B-,A-,B,A,
182021,C,-,-,C+,B+,C,C,
